,__Countries,__Total_Recovered,__Total_cases,__Total_Deaths,__Active_Cases,__New_Cases
144,101,599,745,10,136,+8
145,169,279,724,13,432,0
146,54,651,712,13,48,0
147,168,656,698,42,0,0
148,196,467,689,15,207,0
149,124,654,673,9,10,0
150,187,405,634,15,214,0
151,138,25,593,0,568,+54
152,40,512,577,47,18,0
153,162,472,563,3,88,+12
154,193,183,509,21,305,0
155,191,438,449,7,4,0
156,4,117,386,21,248,0
157,190,126,372,14,232,0
158,210,347,369,0,22,0
159,127,330,342,10,2,0
160,97,312,336,24,0,0
161,137,250,317,6,61,+1
162,25,31,314,1,282,0
163,44,272,313,7,34,+2
164,86,125,284,16,143,0
165,125,98,249,14,137,0
166,132,195,227,0,32,+2
167,62,56,215,0,159,0
168,38,194,201,1,6,0
169,31,118,191,1,72,0
170,66,188,188,0,0,0
171,82,157,184,14,13,0
172,78,176,179,0,3,0
173,21,137,148,9,2,0
174,28,138,141,3,0,0
175,34,131,141,0,10,0
176,197,117,133,8,8,0
177,131,95,108,4,9,0
178,9,98,105,3,4,0
179,13,89,104,11,4,0
180,16,90,98,7,1,0
181,111,11,91,0,80,0
182,173,11,91,0,80,+10
183,114,81,84,1,2,0
184,22,55,80,0,25,0
185,176,63,78,15,0,0
186,6,23,70,3,44,0
187,72,60,62,0,2,0
188,74,27,61,3,31,0
189,200,11,55,2,42,+6
190,118,45,46,0,1,0
191,166,37,43,3,3,0
192,19,19,30,2,9,0
193,185,29,29,0,0,0
194,195,24,24,0,0,0
195,49,19,23,1,3,0
196,81,23,23,0,0,0
197,165,19,22,0,3,0
198,68,18,21,0,3,0
199,141,21,21,0,0,0
200,108,19,19,0,0,0
201,56,18,18,0,0,0
202,164,15,16,0,1,0
203,67,13,13,0,0,0
204,80,13,13,0,0,0
205,208,12,12,0,0,0
206,134,10,11,1,0,0
207,152,8,11,0,3,0
208,211,8,10,1,1,0
209,117,0,9,2,7,0
210,27,7,8,1,0,0
211,37,7,7,0,0,0
212,184,6,6,0,0,0
213,5,3,3,0,0,0
214,167,1,1,0,0,0
